States,Regions,latitude,longitude,Dates,Usage
Delhi,NR,28.6699929,77.23000403,6/1/2019,76.6
UP,NR,27.59998069,78.05000565,6/1/2019,286.8
Uttarakhand,NR,30.32040895,78.05000565,6/1/2019,39.2
HP,NR,31.10002545,77.16659704,6/1/2019,31
J&K,NR,33.45,76.24,6/1/2019,53.2
Chandigarh,NR,30.71999697,76.78000565,6/1/2019,4.3
Chhattisgarh,WR,22.09042035,82.15998734,6/1/2019,68.1
Gujarat,WR,22.2587,71.1924,6/1/2019,320.7
MP,WR,21.30039105,76.13001949,6/1/2019,227.4
Maharashtra,WR,19.25023195,73.16017493,6/1/2019,408.6
Goa,WR,15.491997,73.81800065,6/1/2019,12.9
DNH,WR,20.26657819,73.0166178,6/1/2019,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,6/1/2019,171.2
Telangana,SR,18.1124,79.0193,6/1/2019,194.9
Karnataka,SR,12.57038129,76.91999711,6/1/2019,217.5
Kerala,SR,8.900372741,76.56999263,6/1/2019,75.4
Tamil Nadu,SR,12.92038576,79.15004187,6/1/2019,298.3
Pondy,SR,11.93499371,79.83000037,6/1/2019,7.2
Bihar,ER,25.78541445,87.4799727,6/1/2019,76.4
Jharkhand,ER,23.80039349,86.41998572,6/1/2019,22.6
Odisha,ER,19.82042971,85.90001746,6/1/2019,62.9
West Bengal,ER,22.58039044,88.32994665,6/1/2019,106.4
Sikkim,ER,27.3333303,88.6166475,6/1/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,6/1/2019,2.2
Assam,NER,26.7499809,94.21666744,6/1/2019,21.7
Manipur,NER,24.79997072,93.95001705,6/1/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,6/1/2019,6.2
Mizoram,NER,23.71039899,92.72001461,6/1/2019,1.9
Nagaland,NER,25.6669979,94.11657019,6/1/2019,2.3
Tripura,NER,23.83540428,91.27999914,6/1/2019,3.3
Punjab,NR,31.51997398,75.98000281,7/1/2019,118
Haryana,NR,28.45000633,77.01999101,7/1/2019,132.1
Rajasthan,NR,26.44999921,74.63998124,7/1/2019,241.9
Delhi,NR,28.6699929,77.23000403,7/1/2019,71.1
UP,NR,27.59998069,78.05000565,7/1/2019,294.2
Uttarakhand,NR,30.32040895,78.05000565,7/1/2019,40.1
HP,NR,31.10002545,77.16659704,7/1/2019,30.1
J&K,NR,33.45,76.24,7/1/2019,53.3
Chandigarh,NR,30.71999697,76.78000565,7/1/2019,4
Chhattisgarh,WR,22.09042035,82.15998734,7/1/2019,73.1
Gujarat,WR,22.2587,71.1924,7/1/2019,319.4
MP,WR,21.30039105,76.13001949,7/1/2019,230.3
Maharashtra,WR,19.25023195,73.16017493,7/1/2019,408.1
Goa,WR,15.491997,73.81800065,7/1/2019,12.7
DNH,WR,20.26657819,73.0166178,7/1/2019,18.3
Andhra Pradesh,SR,14.7504291,78.57002559,7/1/2019,166.4
Telangana,SR,18.1124,79.0193,7/1/2019,191.9
Karnataka,SR,12.57038129,76.91999711,7/1/2019,217.4
Kerala,SR,8.900372741,76.56999263,7/1/2019,74.9
Tamil Nadu,SR,12.92038576,79.15004187,7/1/2019,294.2
Pondy,SR,11.93499371,79.83000037,7/1/2019,7
Bihar,ER,25.78541445,87.4799727,7/1/2019,75.3
Jharkhand,ER,23.80039349,86.41998572,7/1/2019,23.9
Odisha,ER,19.82042971,85.90001746,7/1/2019,64
West Bengal,ER,22.58039044,88.32994665,7/1/2019,109.3
Sikkim,ER,27.3333303,88.6166475,7/1/2019,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,7/1/2019,2.2
Assam,NER,26.7499809,94.21666744,7/1/2019,21.4
Manipur,NER,24.79997072,93.95001705,7/1/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,7/1/2019,6.1
Mizoram,NER,23.71039899,92.72001461,7/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,7/1/2019,2.3
Tripura,NER,23.83540428,91.27999914,7/1/2019,3.3
Punjab,NR,31.51997398,75.98000281,8/1/2019,107.5
Haryana,NR,28.45000633,77.01999101,8/1/2019,121.4
Rajasthan,NR,26.44999921,74.63998124,8/1/2019,237.2
Delhi,NR,28.6699929,77.23000403,8/1/2019,69
UP,NR,27.59998069,78.05000565,8/1/2019,289.4
Uttarakhand,NR,30.32040895,78.05000565,8/1/2019,37
HP,NR,31.10002545,77.16659704,8/1/2019,29.2
J&K,NR,33.45,76.24,8/1/2019,51.2
Chandigarh,NR,30.71999697,76.78000565,8/1/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,8/1/2019,74.2
Gujarat,WR,22.2587,71.1924,8/1/2019,307.9
MP,WR,21.30039105,76.13001949,8/1/2019,228.8
Maharashtra,WR,19.25023195,73.16017493,8/1/2019,398.2
Goa,WR,15.491997,73.81800065,8/1/2019,10.9
DNH,WR,20.26657819,73.0166178,8/1/2019,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,8/1/2019,160.8
Telangana,SR,18.1124,79.0193,8/1/2019,190.8
Karnataka,SR,12.57038129,76.91999711,8/1/2019,201
Kerala,SR,8.900372741,76.56999263,8/1/2019,68.2
Tamil Nadu,SR,12.92038576,79.15004187,8/1/2019,279.2
Pondy,SR,11.93499371,79.83000037,8/1/2019,6.5
Bihar,ER,25.78541445,87.4799727,8/1/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,8/1/2019,23.3
Odisha,ER,19.82042971,85.90001746,8/1/2019,63.6
West Bengal,ER,22.58039044,88.32994665,8/1/2019,102.9
Sikkim,ER,27.3333303,88.6166475,8/1/2019,1.6
Arunachal Pradesh,NER,27.10039878,93.61660071,8/1/2019,2.3
Assam,NER,26.7499809,94.21666744,8/1/2019,20.7
Manipur,NER,24.79997072,93.95001705,8/1/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,8/1/2019,6.2
Mizoram,NER,23.71039899,92.72001461,8/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,8/1/2019,2.1
Tripura,NER,23.83540428,91.27999914,8/1/2019,3.3
Punjab,NR,31.51997398,75.98000281,9/1/2019,132.5
Haryana,NR,28.45000633,77.01999101,9/1/2019,148.2
Rajasthan,NR,26.44999921,74.63998124,9/1/2019,197
Delhi,NR,28.6699929,77.23000403,9/1/2019,89.2
UP,NR,27.59998069,78.05000565,9/1/2019,258.6
Uttarakhand,NR,30.32040895,78.05000565,9/1/2019,35.9
HP,NR,31.10002545,77.16659704,9/1/2019,25.3
J&K,NR,33.45,76.24,9/1/2019,37.9
Chandigarh,NR,30.71999697,76.78000565,9/1/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,9/1/2019,77.2
Gujarat,WR,22.2587,71.1924,9/1/2019,260
MP,WR,21.30039105,76.13001949,9/1/2019,162.5
Maharashtra,WR,19.25023195,73.16017493,9/1/2019,400.9
Goa,WR,15.491997,73.81800065,9/1/2019,12.1
DNH,WR,20.26657819,73.0166178,9/1/2019,18
Andhra Pradesh,SR,14.7504291,78.57002559,9/1/2019,163
Telangana,SR,18.1124,79.0193,9/1/2019,167.5
Karnataka,SR,12.57038129,76.91999711,9/1/2019,173.6
Kerala,SR,8.900372741,76.56999263,9/1/2019,67.9
Tamil Nadu,SR,12.92038576,79.15004187,9/1/2019,280.4
Pondy,SR,11.93499371,79.83000037,9/1/2019,7.6
Bihar,ER,25.78541445,87.4799727,9/1/2019,56.4
Jharkhand,ER,23.80039349,86.41998572,9/1/2019,19.2
Odisha,ER,19.82042971,85.90001746,9/1/2019,86.6
West Bengal,ER,22.58039044,88.32994665,9/1/2019,131.7
Sikkim,ER,27.3333303,88.6166475,9/1/2019,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,9/1/2019,2.1
Assam,NER,26.7499809,94.21666744,9/1/2019,25.8
Manipur,NER,24.79997072,93.95001705,9/1/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,9/1/2019,6
Mizoram,NER,23.71039899,92.72001461,9/1/2019,1.7
Nagaland,NER,25.6669979,94.11657019,9/1/2019,2.4
Tripura,NER,23.83540428,91.27999914,9/1/2019,4.2
Punjab,NR,31.51997398,75.98000281,10/1/2019,131.5
Haryana,NR,28.45000633,77.01999101,10/1/2019,157
Rajasthan,NR,26.44999921,74.63998124,10/1/2019,199.9
Delhi,NR,28.6699929,77.23000403,10/1/2019,92.8
UP,NR,27.59998069,78.05000565,10/1/2019,284.2
Uttarakhand,NR,30.32040895,78.05000565,10/1/2019,35.3
HP,NR,31.10002545,77.16659704,10/1/2019,26.5
J&K,NR,33.45,76.24,10/1/2019,31.7
Chandigarh,NR,30.71999697,76.78000565,10/1/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,10/1/2019,79
Gujarat,WR,22.2587,71.1924,10/1/2019,268.3
MP,WR,21.30039105,76.13001949,10/1/2019,159.6
Maharashtra,WR,19.25023195,73.16017493,10/1/2019,409.7
Goa,WR,15.491997,73.81800065,10/1/2019,12.1
DNH,WR,20.26657819,73.0166178,10/1/2019,17.8
Andhra Pradesh,SR,14.7504291,78.57002559,10/1/2019,168.8
Telangana,SR,18.1124,79.0193,10/1/2019,173.4
Karnataka,SR,12.57038129,76.91999711,10/1/2019,176
Kerala,SR,8.900372741,76.56999263,10/1/2019,68.9
Tamil Nadu,SR,12.92038576,79.15004187,10/1/2019,290.8
Pondy,SR,11.93499371,79.83000037,10/1/2019,7.9
Bihar,ER,25.78541445,87.4799727,10/1/2019,69.9
Jharkhand,ER,23.80039349,86.41998572,10/1/2019,21.8
Odisha,ER,19.82042971,85.90001746,10/1/2019,78.8
West Bengal,ER,22.58039044,88.32994665,10/1/2019,140.1
Sikkim,ER,27.3333303,88.6166475,10/1/2019,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,10/1/2019,2.1
Assam,NER,26.7499809,94.21666744,10/1/2019,25.8
Manipur,NER,24.79997072,93.95001705,10/1/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,10/1/2019,6.2
Mizoram,NER,23.71039899,92.72001461,10/1/2019,1.7
Nagaland,NER,25.6669979,94.11657019,10/1/2019,2.1
Tripura,NER,23.83540428,91.27999914,10/1/2019,4.3
Punjab,NR,31.51997398,75.98000281,11/1/2019,130.3
Haryana,NR,28.45000633,77.01999101,11/1/2019,145.3
Rajasthan,NR,26.44999921,74.63998124,11/1/2019,187.7
Delhi,NR,28.6699929,77.23000403,11/1/2019,79.5
UP,NR,27.59998069,78.05000565,11/1/2019,281.4
Uttarakhand,NR,30.32040895,78.05000565,11/1/2019,30.1
HP,NR,31.10002545,77.16659704,11/1/2019,23.9
J&K,NR,33.45,76.24,11/1/2019,37.3
Chandigarh,NR,30.71999697,76.78000565,11/1/2019,3.4
Chhattisgarh,WR,22.09042035,82.15998734,11/1/2019,80.7
Gujarat,WR,22.2587,71.1924,11/1/2019,275
MP,WR,21.30039105,76.13001949,11/1/2019,154.3
Maharashtra,WR,19.25023195,73.16017493,11/1/2019,405.2
Goa,WR,15.491997,73.81800065,11/1/2019,12.1
DNH,WR,20.26657819,73.0166178,11/1/2019,16.9
Andhra Pradesh,SR,14.7504291,78.57002559,11/1/2019,167.7
Telangana,SR,18.1124,79.0193,11/1/2019,166.7
Karnataka,SR,12.57038129,76.91999711,11/1/2019,157
Kerala,SR,8.900372741,76.56999263,11/1/2019,67.4
Tamil Nadu,SR,12.92038576,79.15004187,11/1/2019,270.5
Pondy,SR,11.93499371,79.83000037,11/1/2019,7.1
Bihar,ER,25.78541445,87.4799727,11/1/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,11/1/2019,23.3
Odisha,ER,19.82042971,85.90001746,11/1/2019,78.4
West Bengal,ER,22.58039044,88.32994665,11/1/2019,149.8
Sikkim,ER,27.3333303,88.6166475,11/1/2019,0.8
Arunachal Pradesh,NER,27.10039878,93.61660071,11/1/2019,2.1
Assam,NER,26.7499809,94.21666744,11/1/2019,27.9
Manipur,NER,24.79997072,93.95001705,11/1/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,11/1/2019,6.2
Mizoram,NER,23.71039899,92.72001461,11/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,11/1/2019,2.1
Tripura,NER,23.83540428,91.27999914,11/1/2019,4.3
Punjab,NR,31.51997398,75.98000281,12/1/2019,137.9
Haryana,NR,28.45000633,77.01999101,12/1/2019,151.9
Rajasthan,NR,26.44999921,74.63998124,12/1/2019,189.9
Delhi,NR,28.6699929,77.23000403,12/1/2019,92.6
UP,NR,27.59998069,78.05000565,12/1/2019,298.6
Uttarakhand,NR,30.32040895,78.05000565,12/1/2019,34.7
HP,NR,31.10002545,77.16659704,12/1/2019,26.4
J&K,NR,33.45,76.24,12/1/2019,34.6
Chandigarh,NR,30.71999697,76.78000565,12/1/2019,4
Chhattisgarh,WR,22.09042035,82.15998734,12/1/2019,85.2
Gujarat,WR,22.2587,71.1924,12/1/2019,294.1
MP,WR,21.30039105,76.13001949,12/1/2019,161.1
Maharashtra,WR,19.25023195,73.16017493,12/1/2019,421.8
Goa,WR,15.491997,73.81800065,12/1/2019,12.2
DNH,WR,20.26657819,73.0166178,12/1/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,12/1/2019,168.1
Telangana,SR,18.1124,79.0193,12/1/2019,173.2
Karnataka,SR,12.57038129,76.91999711,12/1/2019,163.5
Kerala,SR,8.900372741,76.56999263,12/1/2019,69.9
Tamil Nadu,SR,12.92038576,79.15004187,12/1/2019,298.4
Pondy,SR,11.93499371,79.83000037,12/1/2019,8
Bihar,ER,25.78541445,87.4799727,12/1/2019,82.3
Jharkhand,ER,23.80039349,86.41998572,12/1/2019,24.3
Odisha,ER,19.82042971,85.90001746,12/1/2019,82.4
West Bengal,ER,22.58039044,88.32994665,12/1/2019,154.7
Sikkim,ER,27.3333303,88.6166475,12/1/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,12/1/2019,2.1
Assam,NER,26.7499809,94.21666744,12/1/2019,30.1
Manipur,NER,24.79997072,93.95001705,12/1/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,12/1/2019,6
Mizoram,NER,23.71039899,92.72001461,12/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,12/1/2019,2
Tripura,NER,23.83540428,91.27999914,12/1/2019,4.6
Punjab,NR,31.51997398,75.98000281,13/01/2019,135.8
Haryana,NR,28.45000633,77.01999101,13/01/2019,141.4
Rajasthan,NR,26.44999921,74.63998124,13/01/2019,186.9
Delhi,NR,28.6699929,77.23000403,13/01/2019,89.4
UP,NR,27.59998069,78.05000565,13/01/2019,310
Uttarakhand,NR,30.32040895,78.05000565,13/01/2019,36.7
HP,NR,31.10002545,77.16659704,13/01/2019,26.4
J&K,NR,33.45,76.24,13/01/2019,32.7
Chandigarh,NR,30.71999697,76.78000565,13/01/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,13/01/2019,87.6
Gujarat,WR,22.2587,71.1924,13/01/2019,301.2
MP,WR,21.30039105,76.13001949,13/01/2019,168.6
Maharashtra,WR,19.25023195,73.16017493,13/01/2019,408.3
Goa,WR,15.491997,73.81800065,13/01/2019,12.4
DNH,WR,20.26657819,73.0166178,13/01/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,13/01/2019,164.9
Telangana,SR,18.1124,79.0193,13/01/2019,176.9
Karnataka,SR,12.57038129,76.91999711,13/01/2019,162.4
Kerala,SR,8.900372741,76.56999263,13/01/2019,72.4
Tamil Nadu,SR,12.92038576,79.15004187,13/01/2019,314.1
Pondy,SR,11.93499371,79.83000037,13/01/2019,8.4
Bihar,ER,25.78541445,87.4799727,13/01/2019,87.7
Jharkhand,ER,23.80039349,86.41998572,13/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,13/01/2019,84.3
West Bengal,ER,22.58039044,88.32994665,13/01/2019,155.3
Sikkim,ER,27.3333303,88.6166475,13/01/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,13/01/2019,2.1
Assam,NER,26.7499809,94.21666744,13/01/2019,30.1
Manipur,NER,24.79997072,93.95001705,13/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,13/01/2019,5.9
Mizoram,NER,23.71039899,92.72001461,13/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,13/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,13/01/2019,4.8
Punjab,NR,31.51997398,75.98000281,14/01/2019,139.3
Haryana,NR,28.45000633,77.01999101,14/01/2019,143.8
Rajasthan,NR,26.44999921,74.63998124,14/01/2019,195.2
Delhi,NR,28.6699929,77.23000403,14/01/2019,82.2
UP,NR,27.59998069,78.05000565,14/01/2019,319.5
Uttarakhand,NR,30.32040895,78.05000565,14/01/2019,35.5
HP,NR,31.10002545,77.16659704,14/01/2019,26.9
J&K,NR,33.45,76.24,14/01/2019,37.6
Chandigarh,NR,30.71999697,76.78000565,14/01/2019,3.5
Chhattisgarh,WR,22.09042035,82.15998734,14/01/2019,89.6
Gujarat,WR,22.2587,71.1924,14/01/2019,305.6
MP,WR,21.30039105,76.13001949,14/01/2019,170.7
Maharashtra,WR,19.25023195,73.16017493,14/01/2019,406.3
Goa,WR,15.491997,73.81800065,14/01/2019,12.4
DNH,WR,20.26657819,73.0166178,14/01/2019,18.5
Andhra Pradesh,SR,14.7504291,78.57002559,14/01/2019,163.3
Telangana,SR,18.1124,79.0193,14/01/2019,177
Karnataka,SR,12.57038129,76.91999711,14/01/2019,156.7
Kerala,SR,8.900372741,76.56999263,14/01/2019,69.6
Tamil Nadu,SR,12.92038576,79.15004187,14/01/2019,305.9
Pondy,SR,11.93499371,79.83000037,14/01/2019,8.3
Bihar,ER,25.78541445,87.4799727,14/01/2019,88.2
Jharkhand,ER,23.80039349,86.41998572,14/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,14/01/2019,85.7
West Bengal,ER,22.58039044,88.32994665,14/01/2019,143.9
Sikkim,ER,27.3333303,88.6166475,14/01/2019,0.9
Arunachal Pradesh,NER,27.10039878,93.61660071,14/01/2019,2.1
Assam,NER,26.7499809,94.21666744,14/01/2019,31.7
Manipur,NER,24.79997072,93.95001705,14/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,14/01/2019,5.4
Mizoram,NER,23.71039899,92.72001461,14/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,14/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,14/01/2019,5
Punjab,NR,31.51997398,75.98000281,15/01/2019,141.1
Haryana,NR,28.45000633,77.01999101,15/01/2019,142.9
Rajasthan,NR,26.44999921,74.63998124,15/01/2019,185.4
Delhi,NR,28.6699929,77.23000403,15/01/2019,77.8
UP,NR,27.59998069,78.05000565,15/01/2019,326.7
Uttarakhand,NR,30.32040895,78.05000565,15/01/2019,34.3
HP,NR,31.10002545,77.16659704,15/01/2019,25.6
J&K,NR,33.45,76.24,15/01/2019,39.5
Chandigarh,NR,30.71999697,76.78000565,15/01/2019,3.2
Chhattisgarh,WR,22.09042035,82.15998734,15/01/2019,88
Gujarat,WR,22.2587,71.1924,15/01/2019,290.5
MP,WR,21.30039105,76.13001949,15/01/2019,170.2
Maharashtra,WR,19.25023195,73.16017493,15/01/2019,392.1
Goa,WR,15.491997,73.81800065,15/01/2019,12.4
DNH,WR,20.26657819,73.0166178,15/01/2019,17.3
